"name","st_x","st_y","limit"
BARTON 1104,-119.7499,36.77278004,897
BARTON 1105,-119.6992401,36.73960996,1674
BARTON 1106,-119.7465301,36.76632002,366
BARTON 1108,-119.74371,36.75773999,1408
BARTON 1109,-119.72873,36.77226001,1754
BARTON 1110,-119.74091,36.75050998,1515
BARTON 1111,-119.71025,36.73883001,1114
BARTON 1112,-119.7102499,36.75686996,1696
BARTON 1114,-119.72914,36.73608003,1347
BARTON 1115,-119.66448,36.73755,1661
BARTON 1116,-119.71729,36.78666004,1493
CANTUA 1101,-120.29244,36.47241995,0
CANTUA 1103,-120.34388,36.42984999,0
CANTUA 1104,-120.34225,36.43017004,0
CANTUA 1105,-120.2311401,36.42923004,0
CANTUA 1106,-120.34225,36.43021997,0
LEMOORE 1104,-119.72797,36.32796002,953
ATWATER 1102,-120.5828399,37.30235001,2163
ATWATER 1103,-120.54631,37.38446002,1316
ATWATER 1104,-120.58674,37.34683998,1302
ATWATER 1105,-120.54973,37.34658999,1613
ATWATER 1106,-120.56858,37.30817999,1651
ATWATER 1107,-120.58722,37.31317,1404
ATWATER 1108,-120.62375,37.36407998,816
STROUD 1101,-120.1078,36.53106998,0
STROUD 1102,-120.01891,36.50983003,0
STROUD 1104,-120.04706,36.60080998,0
STROUD 1107,-120.1042,36.53181001,0
STROUD 1108,-120.10447,36.53189002,0
PANOCHE 1101,-120.36336,36.61774997,0
PANOCHE 1102,-120.47862,36.60372001,0
HARDWICK 1101,-119.64459,36.4158,2359
HARDWICK 1102,-119.47365,36.40812001,1540
WEST FRESNO 1101,-119.79095,36.66327003,2382
WEST FRESNO 1102,-119.78708,36.73192004,1828
WEST FRESNO 1103,-119.7924799,36.72677002,1263
WEST FRESNO 1104,-119.79099,36.71403,2183
WEST FRESNO 1105,-119.7901001,36.74340998,1888
WEST FRESNO 1106,-119.8086201,36.73546005,1808
WEST FRESNO 1107,-119.80698,36.72945003,1679
WEST FRESNO 1108,-119.78994,36.73454004,1345
WEST FRESNO 1109,-119.7862899,36.75202999,2113
WEST FRESNO 1110,-119.78283,36.69953004,2698
WEST FRESNO 1111,-119.83135,36.73585003,2108
WEST FRESNO 1112,-119.82794,36.71391996,1599
EL CAPITAN 1102,-120.42714,37.36508998,2344
EL CAPITAN 1103,-120.40212,37.46927001,2248
EL CAPITAN 1104,-120.5103,37.31621999,1101
EL CAPITAN 1105,-120.48946,37.31435,1071
EL CAPITAN 1106,-120.4688,37.29739998,1486
EL CAPITAN 2109,-120.4697601,37.31829996,1649
EL CAPITAN 2110,-120.44438,37.31425997,1910
MANCHESTER 1101,-119.75016,36.78534004,1542
MANCHESTER 1102,-119.76842,36.78458997,1378
MANCHESTER 1103,-119.7909299,36.78782004,1275
MANCHESTER 1104,-119.78953,36.77180999,857
MANCHESTER 1105,-119.78999,36.78939,1860
MANCHESTER 1106,-119.77022,36.75905999,1214
